Sr. No.,Restaurant ID,Country Code,City,Has Table booking,Has Online delivery,Service_Availability,,,,,,,
1218,306142,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1219,308609,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1220,18383453,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1221,305478,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1222,308357,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1223,306128,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1224,308020,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1225,309883,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1226,306132,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1227,306956,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1228,305862,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1229,307309,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1230,306131,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1231,306127,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1232,313149,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1233,306001,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1234,308016,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1235,18336509,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1236,18336176,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1237,18383472,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1238,18292448,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1239,306134,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1240,306946,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1241,18289242,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1242,18277030,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1243,306153,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1244,308022,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1245,305905,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1246,18245277,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1247,305670,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1248,305815,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1249,18208920,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1250,306046,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1251,18381226,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1252,4992,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1253,300749,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1254,278,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1255,225,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1256,18337929,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1257,5960,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1258,1664,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1259,157,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1260,18235155,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1261,310211,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1262,3346,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1263,310854,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1264,18247015,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1265,309387,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1266,7418,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1267,1455,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1268,18241867,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1269,308889,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1270,4620,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1271,18322666,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1272,311718,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1273,18255106,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1274,4876,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1275,631,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1276,226,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1277,8805,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1278,3540,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1279,311579,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1280,303709,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1281,18391156,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1282,301319,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1283,158,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1284,1360,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1285,310737,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1286,4762,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1287,311736,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1288,311116,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1289,3483,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1290,18308025,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1291,307272,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1292,18025115,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1293,18454285,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1294,1687,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1295,308605,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1296,18422652,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1297,18131568,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1298,18034048,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1299,18138457,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1300,313272,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1301,9778,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1302,312523,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1303,18424575,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1304,18204463,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1305,307627,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1306,301302,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1307,312995,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1308,308577,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1309,313376,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1310,312536,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1311,310385,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1312,18464003,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1313,18349915,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1314,18299228,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1315,18034074,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1316,311080,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1317,18462603,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1318,18481295,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1319,18472765,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1320,18499452,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1321,18500652,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1322,18361580,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1323,18417487,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1324,18462605,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1325,18462609,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1326,3565,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1327,18367364,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1328,1028,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1329,308673,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1330,18383473,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1331,18444416,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1332,18161609,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1333,611,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1334,18322677,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1335,18204847,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1336,308044,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1337,18294819,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1338,309697,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1339,18444353,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1340,304185,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1341,18383489,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1342,312022,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1343,18425765,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1344,2827,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1345,18223957,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1346,18492107,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1347,300074,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1348,305096,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1349,18336206,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1350,303094,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1351,306858,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1352,312562,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1353,307935,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1354,302184,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1355,1694,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1356,309541,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1357,18161587,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1358,18258475,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1359,313209,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1360,302229,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1361,18441196,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1362,18398610,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1363,18237322,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1364,309696,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1365,18357544,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1366,18431563,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1367,18337747,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1368,18258477,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1369,18396189,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1370,6915,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1371,18233576,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1372,18256890,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1373,18384115,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1374,18352208,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1375,4171,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1376,18238279,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1377,18286517,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1378,575,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1379,18280305,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1380,18359286,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1381,18450609,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1382,18237324,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1383,18461214,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1384,18294226,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1385,18383513,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1386,18372311,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1387,4172,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1388,310525,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1389,300054,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1390,301278,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1391,18451182,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1392,18384142,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1393,18241498,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1394,18265384,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1395,311494,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1396,7078,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1397,307185,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1398,18371404,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1399,18281982,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1400,311725,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1401,18365994,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1402,18254524,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1403,18070480,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1404,312261,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1405,18433890,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1406,18138434,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1407,303100,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1408,18025125,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1409,18425140,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1410,18241497,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1411,18153541,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1412,18339049,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1413,18232093,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1414,18361762,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1415,18025098,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1416,18337913,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1417,18138446,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1418,18383447,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1419,18381262,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1420,18349894,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1421,304552,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1422,4618,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1423,307366,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1424,18366026,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1425,9895,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1426,18453035,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1427,302455,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1428,308248,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1429,313047,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1430,8241,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1431,18341926,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1432,308023,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1433,311486,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1434,18138430,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1435,18361778,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1436,9742,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1437,7518,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1438,7516,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1439,3586,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1440,313264,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1441,311805,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1442,308897,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1443,2825,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1444,9674,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1445,18276997,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1446,18336180,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1447,311061,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1448,18312471,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1449,18378048,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1450,18462584,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1451,5019,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1452,4719,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1453,305400,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1454,309141,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1455,302880,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1456,303960,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1457,9773,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1458,309125,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1459,18463965,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1460,18408054,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1461,2091,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1462,305790,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1463,3445,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1464,312111,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1465,2475,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1466,18361772,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1467,308553,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1468,307043,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1469,307304,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1470,18427868,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1471,2148,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1472,18450874,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1473,18408063,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1474,18393697,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1475,8931,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1476,306880,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1477,18408031,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1478,304897,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1479,309136,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1480,307580,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1481,18430557,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1482,18441771,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1483,18460311,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1484,18161583,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1485,18237346,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1486,311662,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1487,18430602,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1488,5172,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1489,6643,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1490,300978,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1491,311640,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1492,311629,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1493,303430,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1494,303486,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1495,309423,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1496,309421,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1497,308390,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1498,308473,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1499,308997,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1500,308470,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1501,308477,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1502,307786,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1503,308447,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1504,17977796,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1505,17977757,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1506,4256,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1507,18306548,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1508,5032,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1509,7472,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1510,302336,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1511,8413,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1512,8437,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1513,8019,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1514,307416,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1515,18369743,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1516,307533,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1517,307225,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1518,307426,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1519,6700,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1520,300538,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1521,4879,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1522,18198441,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1523,18334445,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1524,302920,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1525,18430882,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1526,313204,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1527,303477,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1528,5230,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1529,3582,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1530,303470,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1531,429,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1532,18034040,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1533,17953932,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1534,312668,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1535,997,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1536,2144,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1537,305682,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1538,17953934,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1539,3855,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1540,310445,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1541,892,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1542,2056,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1543,307509,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1544,797,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1545,308013,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1546,2760,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1547,8913,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1548,311759,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1549,18446889,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1550,9957,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1551,308840,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1552,18432226,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1553,311777,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1554,2064,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1555,311758,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1556,514,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1557,18408212,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1558,2061,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1559,2458,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1560,420,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1561,1599,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1562,159,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1563,300119,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1564,18466924,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1565,18354984,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1566,1096,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1567,18336208,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1568,3213,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1569,18381642,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1570,338,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1571,1245,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1572,18381233,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1573,18153552,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1574,18082232,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1575,3585,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1576,305698,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1577,18337917,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1578,6847,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1579,8147,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1580,18198825,1,Gurgaon,Yes,Yes,Both_Services_Available,,,,,,,
1581,302044,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
1582,18399220,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1583,5084,1,Gurgaon,No,No,No_Service_Available,,,,,,,
1584,302024,1,Gurgaon,Yes,No,Any_one-Service_Available,,,,,,,
1585,18396399,1,Gurgaon,No,Yes,Any_one-Service_Available,,,,,,,
